,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
0,@simonetebetbr Simone Tebet foi contra investigar governadores e prefeitos por desvios de dinheiro público durante a pandemia. https://t.co/sVzMfbza8n,1537650507468120065,0,0,0,1505784207326470145,Twitter for Android,pt,2022-06-17 04:17:03+00:00,
1,@simonetebetbr Simone Tebet foi contra investigar governadores e prefeitos por desvios de dinheiro público durante a pandemia. https://t.co/L4QpGPlx2l,1537650345207275523,0,0,0,1505784207326470145,Twitter for Android,pt,2022-06-17 04:16:25+00:00,
2,"Se acreditasse em ingenuidade por parte da mídia eu diria que estão cometendo o mesmo erro dos ciristas, minando a campanha do Lula em prol de (talvez) Simone Tebet. 
A questão é q eu não acredito... https://t.co/mKT296QVJZ",1537645405453836293,0,0,0,1948283905,Twitter for Android,pt,2022-06-17 03:56:47+00:00,
3,@simonetebetbr Lacrando Simone Tebet que vergonha!🤦‍♂️,1537641947015299073,0,0,1,308612996,Twitter Web App,pt,2022-06-17 03:43:02+00:00,
4,@piauidaniel @priscillalleite Talvez a Simone Tebet vá votar nela mesma.  Mas como eu não conheço ela.. então tbm posso dizer que não conheço ninguém que vá votar nela,1537641025480663041,0,0,0,1393474334,Twitter Web App,pt,2022-06-17 03:39:23+00:00,
5,"@LB_putz_grila @Adriano69137025 @Clscruz12761 @ArthurLira_ Vai fazer campanha para Simone tebet, quem sabe vc gritando e xingando ela consegue sair de trás da margem de erro...",1537640873990709248,0,1,0,1154940281025941505,Twitter for Android,pt,2022-06-17 03:38:47+00:00,
6,"@AntonioUlisses8 tem outros lados, não estamos fadados a permanecer no MAL

preste atenção em Simone Tebet @simonetebetbr , ouça suas propostas.",1537640486126641154,0,0,1,88585201,Twitter Web App,pt,2022-06-17 03:37:14+00:00,
7,"Conheça as credenciais de @simonetebetbr, a pré-candidata a presidente da República da terceira via, do centro democrático, da união entre @PSDBoficial @MDB_Nacional e @23cidadania. Simone Tebet é mulher, experiente, sensível com o povo! #simonepresidente https://t.co/sTdhwX8IM0",1537637872601268225,0,1,0,16976843,Echofon,pt,2022-06-17 03:26:51+00:00,
8,Simone Tebet vai dormir a vida toda com essa. https://t.co/qD9PBTOR6A,1537635517508030464,0,0,0,796924632,Twitter for Android,pt,2022-06-17 03:17:29+00:00,{'place_id': '8646686d7ee4c55b'}
9,"@PortoClaudeci @panga2021 Isso. Quanto mais votos em Simone Tebet, mais fácil fica a eleição no primeiro turno. Votos nulos e brancos também ajudam. Chupa que a cana é doce. #LulaPresidente13",1537632385751187456,0,0,0,1514958894723960842,Twitter for Android,pt,2022-06-17 03:05:03+00:00,
